time,value,
16.63117781,0.282150539,
16.65198019,0.282055961,
16.67281368,0.2810156,
16.69356038,0.279407768,
16.71438672,0.278272828,
16.73531475,0.276948732,
16.75565539,0.272976442,
16.77901543,0.272976442,
16.79850145,0.272598129,
16.8262068,0.271652346,
16.84570543,0.271746924,
16.86583379,0.271368611,
16.8858785,0.271179454,
16.90590221,0.271179454,
16.9285327,0.271179454,
16.94863669,0.271274033,
16.96875515,0.271274033,
16.99189698,0.271274033,
17.01574834,0.272030659,
17.03891536,0.272881864,
17.06198376,0.273354756,
17.08716843,0.273449334,
17.11029005,0.273449334,
17.13129637,0.273449334,
17.15467977,0.273543912,
17.17827021,0.273543912,
17.20202853,0.273449334,
17.2254542,0.273354756,
17.24869794,0.273733069,
17.26911314,0.274395117,
17.29160968,0.275246322,
17.31471313,0.275246322,
17.33788057,0.274868009,
17.36138079,0.274300539,
17.3845525,0.274111382,
17.40771618,0.274111382,
17.42994834,0.273827647,
17.45032683,0.273733069,
17.47030351,0.273449334,
17.49031251,0.273354756,
17.51029711,0.273260177,
17.53021707,0.273354756,
17.55267824,0.273260177,
17.57276499,0.273260177,
17.59539181,0.273165599,
17.61548455,0.273165599,
17.63561849,0.273071021,
17.65598712,0.272976442,
17.67657841,0.272976442,
17.69679892,0.272881864,
17.71789822,0.272976442,
17.7379144,0.272787286,
17.75873279,0.272692707,
17.78160363,0.272692707,
17.801584,0.272692707,
17.82621526,0.272503551,
17.84572133,0.272314394,
17.86502446,0.271936081,
17.88438173,0.271084876,
17.90376156,0.271084876,
17.92531949,0.270422828,
17.94469969,0.270328249,
17.96501381,0.270139093,
17.98764633,0.270328249,
18.00817802,0.270139093,
18.02823132,0.270139093,
18.04875785,0.269666201,
18.07451023,0.269287888,
18.09894849,0.269666201,
18.11920345,0.269571623,
18.14173036,0.269193309,3.87104552
18.17311,0.271936081,
18.20708229,0.280069816,
18.23025762,0.289149335,
18.2544602,0.293689095,
18.27627569,0.295202348,
18.30250585,0.295391505,
18.32734386,0.295769818,
18.34993414,0.296148131,
18.3743615,0.296053553,
18.39769558,0.296053553,
18.41756668,0.296148131,
18.43951987,0.296999336,
18.46019954,0.297377649,
18.48090908,0.297377649,
